BAPIAAHDR						
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME	
1000	1	C240000	240001	14816844.29	C313000	2021.10 Carrying cost
1000	1	C240000	240001	261868.85	C316000	2021.10 Carrying cost
1000	1	C240000	240001	785945.22	C317000	2021.10 Carrying cost
1000	1	C320000	320001	3.00	C312000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	2.00	C313000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	3.00	C316000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	2.00	C317000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	5.00	C314000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	3.00	C311100	2021.10 ให้บริการโปรแกรม SAP
1000	1	C320000	320001	5.00	C315000	2021.10 ให้บริการโปรแกรม SAP
1000	1	C410000	410002	4.00 	C312000	2021.10 รถปิคอัพดับเบิ้ลแค็ป
1000	1	C410000	410002	1.00 	C313000	2021.10 รถปิคอัพดับเบิ้ลแค็ป
1000	1	C410000	410002	2.00 	C316000	2021.10 รถปิคอัพดับเบิ้ลแค็ป
1000	1	C410000	410002	4.00 	C317000	2021.10 รถปิคอัพดับเบิ้ลแค็ป
1000	1	C410000	410002	1.00 	C314000	2021.10 รถปิคอัพดับเบิ้ลแค็ป
1000	1	C410000	410003	1.00 	C312000	2021.10 รถปิคอัพมีแค็ป
1000	1	C410000	410003	3.00 	C313000	2021.10 รถปิคอัพมีแค็ป
1000	1	C410000	410003	2.00 	C316000	2021.10 รถปิคอัพมีแค็ป
1000	1	C410000	410003	1.00 	C314000	2021.10 รถปิคอัพมีแค็ป
1000	1	C410000	410003	1.00 	C311100	2021.10 รถปิคอัพมีแค็ป
1000	1	C410000	410004	2.00 	C313000	2021.10 รถพร้อมคนขับ - รถตู้
1000	1	C410000	410004	2.00 	C316000	2021.10 รถพร้อมคนขับ - รถตู้
1000	1	C410000	410004	2.00 	C311100	2021.10 รถพร้อมคนขับ - รถตู้
1000	1	C440000	440001	462.00 	C312000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	322.00 	C313000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	659.00 	C316000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	807.00 	C317000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	389.00 	C314000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	76.00 	C310000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	149.00 	C311100	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C440000	440001	1200.00	C315000	2021.10 ค่าเช่าพื้นที่ทำงาน
1000	1	C530000	530001	5.00 	C312000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	1.00 	C313000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	48.00 	C316000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	21.00 	C317000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	1.00 	C314000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	0.00 	C310000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	4.00 	C311100	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530001	2.00 	C315000	2021.10 คชจ. การรับชำระเงิน
1000	1	C530000	530002	6.00 	C312000	2021.10 การโอนเงินผ่าน GFMIS
1000	1	C530000	530002	1.00 	C313000	2021.10 การโอนเงินผ่าน GFMIS
1000	1	C530000	530002	8.00 	C316000	2021.10 การโอนเงินผ่าน GFMIS
1000	1	C530000	530002	5.00 	C317000	2021.10 การโอนเงินผ่าน GFMIS
1000	1	C530000	530002	4.00 	C314000	2021.10 การโอนเงินผ่าน GFMIS
