ZFGLIF001	$H	20201231	20201231	S1	1000	THB	 											
ZFGLIF001	$I	50	5220300010	4500.00			1001		C802200									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	50	5220300010	5587.34			1001		C803300									ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	15000.00			1001			P060000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	7500.00			1001			P220000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	18768.66			1001			P230000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	13500.00			1001			P240000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	12000.00			1001			P300000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	19450.66			1001			P300000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	14523.34			2011			P310000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	15000.00			1001			P360000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	7500.00			1001			P460000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	18000.00			1001			P460000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	13584.66			1001			P490000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	14733.34			1001			P530000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	6905.34			1001			P550000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	9000.00			1001			P550000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	9000.00			1001			P560000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	13500.00			1001			P560000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	13500.00			1001			P570000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	12000.00			1001			P580000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	15000.00			1001			P580000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	18000.00			1001			P590000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	18000.00			1001			P600000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	15000.00			1001			P670000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	22500.00			1001			P670000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	14238.66			1001			P690000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	15000.00			1001			P700000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	6000.00			1001			P700000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	7500.00			1001			P750000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	6000.00			1001			P760000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	10500.00			1001			P770000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	12147.33			1001			P790000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	22762.00			1001			P790000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	4500.00			1001			P800000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
ZFGLIF001	$I	40	2190599990	5587.34			1001			P800000								ปป.DOC 100093146 31122020 เนื่องจากบันทึกตั้งค้างจ่ายตามประมาณการ ฝทม. มากไป
